1-gram,frequency
donnees,140
data,99
science,80
lanalyse,22
structurees,20
qualite,20
analyses,20
algorithmes,19
machine,19
learning,19
necessitent,19
grandes,19
quantites,19
outils,19
visualisation,19
comme,19
matplotlib,19
seaborn,19
populaires,19
preparation,19
etape,19
fondamentale,19
processus,19
lintelligence,19
artificielle,19
etroitement,19
liees,19
reseaux,19
neurones,19
utilises,19
taches,19
complexes,19
bases,19
relationnelles,19
couramment,19
utilisees,19
stocker,19
non,19
peuvent,19
etre,19
difficiles,19
analyser,19
sans,19
techniques,19
avancees,19
nettoyage,19
ameliore,19
big,19
requierent,19
technologies,19
specifiques,19
traitement,19
temps,19
reel,19
offre,19
avantage,19
concurrentiel,19
essentielle,1
tendances,1
permet,1
prendre,1
decisions,1
eclairees,1
modeles,1
predictifs,1
cur,1
python,1
largement,1
utilise,1
facilitent,1
lextraction,1
dinformations,1
lapprentissage,1
automatique,1
branche,1
visualisations,1
aident,1
comprendre,1
resultats,1
cruciale,1
precises,1
statistiques,1
descriptives,1
resument,1
caracteristiques,1
manipulation,1
competence,1
cle,1
